IntTime,Gain,SPEC#,Average Diode Reading
10, 1, 1262,220544.1714
10, 2, 1283,220718.925
10, 3, 1303,218938.375
10, 4, 1323,220796.08
5, 1, 1343,221391.67
5, 2, 1363,220393.3
5, 3, 1383,219120.39
5, 4, 1403,223699.25
2,1, 1423,221890.225
2,2, 1443,221159.075
2,3, 1463,219931.695
2,4, 1483,223259.79
1,1, 1503,221884.06
1,2, 1523,220415.545
1,3, 1543,220439.595
1,4, 1563,223432.535
0.5, 1,1583,222272.14
0.5, 2, 1603,222121.695
0.5, 3, 1623,220064.635
0.5, 4, 1643,223558.325
0.2, 1, 1663,222336.8
0.2, 2, 1683,221093.465
0.2, 3, 1703,219616.035
0.2, 4, 1723,225149.805
0.1, 1, 1743,222679.935
0.1, 2,1763,222230.035
0.1, 3,1783,221451.05
0.1, 4,1803,220624.635
0.05, 1,1823,223622.165
0.05, 2,1843,222651.47
0.05, 3,1863,220806.095
0.05, 4,1883,219926.43